id,group,topic,contents
136,MiDesk,MiDesk: Phân tích,"Hệ thống MiDesk có khả năng phân tích cảm xúc (Sentiment Analysis) từ các tương tác chat và comment, giúp tự động ưu tiên các ticket có mức độ tiêu cực cao."
137,MiDesk,MiDesk: Gộp phiếu,MiDesk cho phép gộp nhiều phiếu (ticket) liên quan của cùng một khách hàng thành một phiếu duy nhất để nhân viên xử lý vấn đề một cách toàn diện và không bị trùng lặp.
138,MiDesk,MiDesk: Todo-list,"Tính năng quản lý todo-list tích hợp trong MiDesk giúp nhân viên theo dõi các việc cần xử lý cho từng phiếu yêu cầu, đảm bảo không bỏ sót nhiệm vụ."
139,MiDesk,MiDesk: Phân loại,"MiDesk cung cấp chức năng Gán tag để phân loại tiến trình xử lý phiếu, giúp quản lý và lọc dữ liệu ticket theo các tiêu chí cụ thể như ""đang chờ"", ""đã chuyển"", ""đã giải quyết""."
140,MiPBX,MiPBX: Ghi âm,"Hệ thống ghi âm của MiPBX cho phép người quản lý tìm kiếm và nghe lại ghi âm dựa trên nhiều tiêu chí như số điện thoại khách hàng, thời gian, hoặc tên Agent."
141,MiCXM,MiCXM: Real-time,Chức năng Realtime Monitoring trên MiCXM cho phép Supervisor/Admin nghe xen (Barge-in) hoặc nghe thì thầm (Whisper) vào cuộc gọi để hỗ trợ Agent mới.
142,MiCXM,MiCXM: Báo cáo,"MiCXM cung cấp báo cáo chi tiết về tỷ lệ chuyển đổi (Conversion Rate) từ các chiến dịch gọi ra (Outbound Campaign), giúp đánh giá hiệu quả của đội ngũ Telesales."
143,MiDesk,MiDesk: Tùy chỉnh,"Giao diện làm việc của MiDesk có thể được tùy chỉnh bổ sung trường động thông tin khách hàng, giúp doanh nghiệp quản lý các trường dữ liệu đặc thù."
144,MiDesk,MiDesk: Lịch làm việc,"MiDesk hỗ trợ thiết lập lịch làm việc và lịch nghỉ các ngày lễ, cuối tuần, giúp hệ thống tự động điều chỉnh quy trình phân bổ ticket."
145,MiPBX,MiPBX: Auto-dialer,"MiPBX có thể tích hợp Auto-dialer (Quay số tự động) để tăng tốc độ gọi ra hàng loạt, một tính năng quan trọng cho các trung tâm Telesales lớn."
146,MiCXM,MiCXM: Lead,"MiCXM cho phép tự động tổng hợp sẵn tất cả các Lead (comment, tin nhắn, cuộc gọi,...) từ đa kênh và tự động phân bổ cho nhân viên theo các quy tắc đã định."
147,MiDesk,MiDesk: Phản hồi,"MiDesk giúp doanh nghiệp phản hồi khách hàng nhanh chóng nhờ khả năng tích hợp và đồng bộ dữ liệu khách hàng từ mọi kênh, nâng cao trải nghiệm khách hàng ngay từ lần đầu tiên."
148,MiDesk,MiDesk: Cá nhân hóa,"MiDesk giúp thực hiện cá nhân hóa tương tác bằng cách cho phép nhân viên truy cập lịch sử mua hàng, sở thích cá nhân, và các tương tác trước đó của khách hàng."
149,MiDesk,MiDesk: CX,"MiDesk hỗ trợ doanh nghiệp vẽ được sơ đồ về hành trình khách hàng (Customer Journey), từ điểm chạm đầu tiên đến khi họ kết nối với nhân viên hỗ trợ."
150,MiDesk,MiDesk: Đồng bộ,Khả năng đồng bộ dữ liệu giữa các kênh trên MiDesk đảm bảo khách hàng nhận được sự quan tâm thật sự và được giải quyết vấn đề một cách nhất quán trên mọi nền tảng.
151,MiCXM,MiCXM: Định tuyến,"MiCXM sử dụng ACD (Automatic Call Distribution) thông minh, định tuyến cuộc gọi đến Agent có kỹ năng phù hợp nhất hoặc Agent đã tương tác với khách hàng gần nhất."
152,MiCXM,MiCXM: Chất lượng,Hệ thống MiCXM cung cấp các công cụ Quality Monitoring để quản lý đánh giá chất lượng cuộc gọi của Agent theo các tiêu chí chuẩn mực của Contact Center.
153,MiCXM,MiCXM: Tác vụ,"MiCXM giúp Agent thực hiện các tác vụ sau cuộc gọi (Wrap-up) như cập nhật trạng thái cuộc gọi, ghi chú tóm tắt và lên lịch cho cuộc gọi tiếp theo một cách nhanh chóng."
154,MiPBX,MiPBX: Độ ổn định,"MiPBX có cơ chế Failover tự động; nếu một trung kế (SIP Trunk) gặp sự cố, hệ thống sẽ ngay lập tức chuyển sang trung kế dự phòng để duy trì cuộc gọi và kết nối."
155,MiPBX,MiPBX: Báo cáo,"Báo cáo của MiPBX bao gồm các chỉ số quan trọng như AHT (Average Handle Time), ASA (Average Speed of Answer) và FCR (First Contact Resolution) để đo lường hiệu suất phục vụ."
156,MiPBX,MiPBX: Tương thích,"MiPBX tương thích với nhiều loại thiết bị đầu cuối như điện thoại IP, softphone trên máy tính, và ứng dụng di động, mang lại sự linh hoạt tối đa cho nhân viên."
157,MiDesk,MiDesk: Omnichannel,"MiDesk giải quyết vấn đề bỏ lỡ yêu cầu từ khách hàng bằng cách tự động chuyển đổi tin nhắn SMS, Email, Chat, Comment, và cuộc gọi nhỡ thành Ticket thông minh."
158,MiDesk,MiDesk: Tốc độ,"MiDesk giúp tăng tốc độ Bán hàng và CSKH nhờ dữ liệu tập trung và quy trình tự động, từ đó rút ngắn chu kỳ bán hàng và nâng cao trải nghiệm khách hàng."
159,MiDesk,MiDesk: KPI,"Báo cáo của MiDesk hỗ trợ theo dõi KPI hiệu suất của nhân viên theo thời gian phản hồi và thời gian xử lý Ticket, đảm bảo chất lượng dịch vụ theo SLA."
160,MiCXM,MiCXM: Kế hoạch,"MiCXM hỗ trợ lập Kế hoạch gọi ra chi tiết cho từng chiến dịch, bao gồm việc đặt giới hạn số lần gọi lại cho một khách hàng và khoảng thời gian giữa các lần gọi."
161,MiCXM,MiCXM: Giao diện,"Giao diện MiCXM được thiết kế trực quan, giúp Agent mới dễ dàng làm quen và thao tác, giảm thiểu thời gian đào tạo và tăng năng suất ngay lập tức."
162,Technology,MITEK: Công nghệ,"Giải pháp của MITEK sử dụng nền tảng điện toán đám mây (Cloud Computing), cho phép doanh nghiệp dễ dàng mở rộng quy mô mà không cần đầu tư lớn vào cơ sở hạ tầng vật lý."
163,Hardware,Thiết bị,MITEK cung cấp các thiết bị tổng đài và hội nghị như Tổng đài Yeastar và Thiết bị hội nghị để hỗ trợ triển khai hệ thống cho doanh nghiệp.
164,Hardware,Thiết bị,"Các sản phẩm Yealink được cung cấp bao gồm Tai nghe Yealink và Điện thoại IP Yealink, đây là các thiết bị đầu cuối tương thích hoàn hảo với tổng đài Cloud MiPBX."
165,MiCXM,MiCXM: Tích hợp,"MiCXM có khả năng tích hợp các nền tảng truyền thông phổ biến nhất hiện nay như thoại, email, chat, sms, fax, cho phép Doanh nghiệp dễ dàng tương tác với khách hàng qua nhiều kênh."
166,MiCXM,MiCXM: Định tuyến,"MiCXM giúp tối ưu hóa cuộc gọi thông qua định tuyến dựa trên kỹ năng, đồng thời phân phối cuộc gọi tự động, tích hợp sẵn với các hệ thống IVR."
167,MiPBX,MiPBX: Quản trị,"Cài đặt và quản lý tổng đài MiPBX có thể được thực hiện từ xa thông qua giao diện Web, không cần phải có mặt tại văn phòng."
168,MiDesk,MiDesk: Khách hàng,"Khách hàng chính là tài sản của bất kỳ doanh nghiệp nào, nếu hệ thống chăm sóc khách hàng không hiệu quả, khách hàng có thể rời bỏ bạn bất kỳ lúc nào."
169,MiDesk,MiDesk: Mở rộng,"MiDesk dễ dàng nâng cấp gói dịch vụ theo nhu cầu mở rộng mô hình số lượng người dùng của doanh nghiệp bạn, cũng như nâng cấp tính năng tiện ích khi có nhu cầu."
170,MiDesk,MiDesk: Module,"MiDesk được thiết kế theo module tiện ích, cho phép bạn có thể đăng ký sử dụng một tiện ích riêng lẻ phù hợp với nhu cầu sử dụng của doanh nghiệp."
171,MiPBX,MiPBX: Cước,MiPBX giúp tiết kiệm cước phí hàng tháng so với tổng đài thông thường do miễn phí hoàn toàn các cuộc gọi nội bộ giữa các chi nhánh.
172,MiCXM,MiCXM: Thách thức,"Thách thức của dịch vụ khách hàng hiện nay không chỉ dừng lại ở giá cả hàng hóa, mà còn đòi hỏi doanh nghiệp phải nâng cao chất lượng phục vụ qua nhiều kênh tương tác."
173,Other,Chung: BPO,"MITEK cung cấp giải pháp cho lĩnh vực Thuê ngoài (BPO Outsourcing), giúp các công ty BPO triển khai Contact Center hiệu quả và tiết kiệm."
174,Support,Chung: Hỗ trợ,"Hỗ trợ kỹ thuật được thực hiện qua Mail, kênh Chat (Zalo, Skype); các sự cố gấp có thể gọi Hotline hoặc đầu mối liên hệ chính để được hỗ trợ nhanh chóng."
175,Other,Chung: Bảo mật,"Các hệ thống của MITEK cam kết bảo mật bằng văn bản và đạt chứng chỉ ISO 27001:2013, đảm bảo an toàn dữ liệu khách hàng."
176,Other,Mục đích,"Sản phẩm và dịch vụ MITEK cung cấp dựa trên nền tảng điện toán đám mây, triển khai nhanh chóng, tiện dụng, đáp ứng cho tất cả các quy mô doanh nghiệp từ nhỏ đến lớn."
177,Other,Mục đích,"MiCXM được thiết kế nhằm giúp doanh nghiệp phục vụ khách hàng tốt hơn, chuyên nghiệp hơn, từ đó thu hút thêm khách hàng mới và giữ được khách hàng cũ."
178,Other,Mục đích,"Mục tiêu của MiDesk là cung cấp giải pháp dịch vụ khách hàng, chăm sóc khách hàng đa kênh toàn diện."
179,MiPBX,MiPBX: Tính năng,"MiPBX giúp doanh nghiệp triển khai một hệ thống tổng đài Cloud nhanh chóng và hiệu quả mà không cần phải đầu tư cơ sở hạ tầng, cáp điện thoại, thiết bị tổng đài."
180,MiPBX,MiPBX: Kết nối,Tất cả những gì cần để sử dụng MiPBX là một đường truyền Internet ổn định và điện thoại đầu cuối (IP Phone hoặc Softphone).
181,MiCXM,MiCXM: Lợi ích,MiCXM là nền tảng giúp doanh nghiệp dẫn đầu về CX (Trải nghiệm khách hàng) trong kỷ nguyên số.
182,MiDesk,MiDesk: Lợi ích,"MiDesk OmniChannel là ""Trí nhớ tập trung"" giúp Doanh nghiệp thấu hiểu và chinh phục từng Khách hàng thông qua dữ liệu tương tác liền mạch."
183,MiDesk,MiDesk: Lợi ích,"MiDesk giúp doanh nghiệp tăng lợi thế cạnh tranh rất nhiều so với các đối thủ, vì khách hàng luôn muốn liên hệ dễ dàng với doanh nghiệp."
184,MiDesk,MiDesk: Tính năng,"Với MiDesk, tất cả mọi thứ đã được đơn giản hóa: Dashboard giám sát trực quan, hỗ trợ đa kênh trên một giao diện, và phối hợp nhịp nhàng giữa các bộ phận."
185,Info,Thông tin,Giờ làm việc chính thức của MITEK là từ Thứ Hai đến Thứ Sáu: 8h00 – 18h00.
186,Info,Thông tin,MITEK không làm việc vào Thứ Bảy và Chủ nhật.
187,Info,Thông tin,"Địa chỉ của CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK là: 271/10 An Dương Vương, Phường 2, Quận 5, TP.Hồ Chí Minh."
188,Info,Thông tin,Khách hàng cần tư vấn có thể liên hệ qua Hotline: 1900 1238 hoặc Email: contact@mitek.vn.
189,Info,Thông tin,"MITEK thường xuyên cập nhật Blog và tin tức mới nhất về công nghệ, giải pháp hạ tầng, và phần mềm doanh nghiệp."
190,Info,Thông tin,MITEK được thành lập từ năm 2016 (Thông tin từ Footer bản quyền).
191,MiCXM,MiCXM: Lợi thế,"MiCXM kết hợp các nền tảng truyền thông phổ biến nhất hiện nay, cho phép doanh nghiệp dễ dàng tương tác với khách hàng của mình qua nhiều kênh một cách tốt nhất."
192,MiCXM,MiCXM: Thiết kế,"MiCXM được thiết kế theo module hóa với nhiều tính năng phong phú và các ứng dụng dựa trên nền tảng web, giúp tinh giản đầu tư triển khai ban đầu."
193,MiPBX,MiPBX: Ưu điểm,Tổng đài Cloud MiPBX giúp doanh nghiệp tiết kiệm cước phí hàng tháng so với tổng đài thông thường do không phát sinh chi phí gọi nội bộ.
194,MiPBX,MiPBX: Ưu điểm,"Tổng đài Cloud có khả năng sao lưu và khôi phục dễ dàng, cùng với bảo mật dữ liệu chặt chẽ hơn so với tổng đài truyền thống."
195,MiDesk,MiDesk: Lợi ích,Việc sử dụng giải pháp tích hợp đa kênh như MiDesk mang lại lợi thế cạnh tranh rất lớn so với các đối thủ trên thị trường.
196,MiDesk,MiDesk: Lợi ích,"MiDesk giúp cải thiện mức độ hài lòng của khách hàng nhờ hệ thống xử lý tự động phân bổ thông minh, khiến khách hàng thích thú với khả năng phản hồi thần tốc."
197,MiCXM,MiCXM: Kênh,"MiCXM cho phép tương tác đa kênh bao gồm Voice, E-mail, Chat Web, Facebook, SMS, và Fax, mở rộng khả năng tiếp cận khách hàng của doanh nghiệp."
198,MiDesk,MiDesk: Mục tiêu,"MiDesk có thể giúp doanh nghiệp quản lý hàng chục Fanpage chỉ tại một giao diện duy nhất, tiết kiệm thời gian và tăng hiệu quả quản lý gấp nhiều lần."
199,MiDesk,MiDesk: Phạm vi,"MiDesk thích nghi với nhiều quy mô doanh nghiệp khác nhau, từ các công ty lớn (Enterprise) cho đến các công ty khởi nghiệp (Start-up)."
200,MiPBX,MiPBX: Call Center,Chuyển đổi số trong doanh nghiệp thường bắt đầu từ những cuộc gọi; khám phá ngay sức mạnh của Tổng đài Call Center MiPBX để thúc đẩy quá trình này.
201,MiCXM,MiCXM: Mục tiêu,MiCXM giúp nâng cao hiệu quả quản trị trung tâm dịch vụ khách hàng và đội nhóm nhân viên Telesales.
202,MiPBX,MiPBX: Ghi âm,Ghi âm cuộc gọi mặc định được lưu trữ trong 1 tháng; khách hàng có thể mua thêm gói lưu trữ nếu có nhu cầu lưu trữ lâu hơn.
203,MiPBX,MiPBX: Vận hành,"MITEK đảm nhiệm việc vận hành tổng đài cho doanh nghiệp, loại bỏ gánh nặng quản lý tổng đài khỏi khách hàng."
204,Other,Chung: Tầm nhìn,MITEK chọn lựa sứ mệnh thấu hiểu và phát triển những ứng dụng công nghệ tiên tiến trong lĩnh vực CNTT và Viễn thông.
205,Other,Chung: Mục tiêu,"MITEK cam kết mang lại sự phồn vinh cho khách hàng, của MITEK và của Việt Nam."
206,MiDesk,MiDesk: Lợi ích,"MiDesk giúp quản lý liền mạch tương tác với khách hàng từ tất cả các kênh Facebook, Zalo, Email, Livechat, Call, đảm bảo tính thống nhất trong dịch vụ."
207,MiCXM,MiCXM: Tăng trưởng,"MiCXM được thiết kế để giúp doanh nghiệp thu hút thêm khách hàng mới và giữ được khách hàng cũ, nâng cao vị thế cạnh tranh của Doanh nghiệp trên thị trường."
208,MiPBX,MiPBX: Vận hành,"Để thay đổi kịch bản tổng đài (ví dụ: thay đổi IVR), khách hàng chỉ cần gửi kịch bản mới vào Mail: contact@mitek.vn để đội ngũ kỹ thuật xử lý."
209,MiPBX,MiPBX: Đầu số,MiPBX hoàn toàn không có giới hạn gì về đầu số tổng đài có thể kết nối và sử dụng.
210,MiDesk,MiDesk: Hợp đồng,Thời gian mỗi hợp đồng dịch vụ MiDesk được cung cấp theo tháng hoặc theo năm.
211,Voice Brandname,Voice Brandname,"Voice Brandname (Cuộc gọi thương hiệu) là giải pháp hiển thị tên thương hiệu của doanh nghiệp trên màn hình điện thoại khách hàng khi gọi đi, thay vì chỉ hiển thị dãy số điện thoại."
212,Voice Brandname,Voice Brandname,"Lợi ích chính của Voice Brandname là tăng tỷ lệ bắt máy và tăng mức độ tin cậy của khách hàng, vì họ biết chính xác đơn vị nào đang gọi đến."
213,Voice Brandname,Voice Brandname,"Sử dụng Voice Brandname giúp doanh nghiệp giảm chi phí đầu tư cho việc mua đầu số tổng đài đẹp, vì tên thương hiệu đã hiển thị rõ ràng và tăng độ nhận diện."
214,Zalo Mini App,Zalo Mini App,"Zalo Mini App là những ""ứng dụng nhỏ"" chạy trực tiếp trên nền tảng Zalo, cho phép doanh nghiệp tiếp cận hơn 70 triệu khách hàng tiềm năng mà người dùng không cần tải thêm ứng dụng."
215,Zalo Mini App,Zalo Mini App,"Đối với ngành Bán lẻ, Zalo Mini App là công cụ đắc lực để tối ưu chi phí vận hành, quản lý dữ liệu khách hàng thông minh và theo dõi hành vi mua sắm chi tiết."
216,Zalo Mini App,Zalo Mini App,"Zalo Mini App giúp doanh nghiệp xây dựng ứng dụng với các chức năng được đóng gói sẵn như Mua sắm, Tích lũy điểm thưởng, Nhận thông tin CTKM ngay trên Zalo."
217,Integration,Tích hợp CRM,"Giải pháp Tích hợp Facebook, Zalo OA vào Zoho CRM giúp nhân viên tiếp nhận và xử lý các tương tác của khách hàng trên Social Media ngay trên nền tảng CRM."
218,Integration,Tích hợp CRM,Cửa sổ OmniChannel quản lý kênh Facebook (chat/comment) và Zalo OA (tin nhắn) được hiển thị trực quan trong giao diện Zoho CRM.
219,Integration,Tích hợp CRM,"Nhân viên dễ dàng tiếp nhận, xử lý và quản lý lịch sử tương tác của cả hai kênh Facebook và Zalo OA tập trung trên nền tảng Zoho CRM, không bị phân tán."
220,Zalo,Zalo OA,"Để tích hợp Zalo OA với Zoho Desk/CRM, cần đảm bảo Zalo OA đã xác thực và nâng cấp gói trả phí theo yêu cầu của Zalo."
221,Voice Brandname,Voice Brandname,Dịch vụ Voice Brandname của MITEK được đăng ký hồ sơ chính thức với nhà mạng và sẽ không bị đánh dấu là Spam trên điện thoại người nhận.
222,Voice Brandname,Voice Brandname,"Dịch vụ Voice Brandname có thể được ứng dụng trong đa lĩnh vực, đa ngành nghề để Quảng cáo (Telemarketing) và CSKH với việc kết nối hai chiều linh hoạt."
223,MiCXM,MiCXM: Tích hợp,"Nền tảng giao tiếp đa kênh MiCRM (MiCXM) kết nối liền mạch giữa các kênh tương tác như Facebook, Zalo OA, Hotline, giúp Doanh nghiệp tăng tốc độ xử lý."
224,MiPBX,MiPBX: Lợi ích,MiPBX hỗ trợ khai báo số SIP Trunking theo số hotline có sẵn của doanh nghiệp và giúp cho doanh nghiệp tận dụng số tổng đài ban đầu của mình.
225,Other,Tổng kết,"MITEK là Đối tác Giải pháp của Zalo Mini App, giúp các doanh nghiệp xây dựng ứng dụng, đem lại trải nghiệm tốt nhất cho người dùng trên nền tảng Zalo."
226,MiPBX,MiPBX: Hỗ trợ,"MITEK đảm nhận việc vận hành tổng đài cho doanh nghiệp, giúp khách hàng tiết kiệm thời gian quản lý và vận hành hệ thống."
227,MiCXM,MiCXM: Tầm nhìn,"MiCXM được thiết kế theo module hóa, các ứng dụng dựa trên nền tảng web giúp tinh giản đầu tư triển khai ban đầu."
228,MiDesk,MiDesk: Lợi thế,"MiDesk cho phép quản lý liền mạch tương tác với khách hàng từ tất cả các kênh, đảm bảo tính thống nhất trong dịch vụ."
229,Other,Chung: Cam kết,"MITEK luôn sẵn sàng đồng hành cùng doanh nghiệp và cung cấp hỗ trợ, tư vấn chi tiết cho mọi nhu cầu dịch vụ."
230,Other,Chung: Liên hệ,Khách hàng có nhu cầu cần tư vấn cụ thể hơn về dịch vụ có thể liên hệ qua email contact@mitek.vn hoặc hotline 1900 1238.
231,Greeting,Chào hỏi,"Xin chào bạn, tôi có thể giúp gì cho bạn hôm nay không ạ?"
232,Greeting,Chào hỏi,"Chào bạn, bạn đang tìm hiểu thông tin nào để tôi hỗ trợ ngay?"
233,Greeting,Chào hỏi,"Vâng, xin chào bạn. Bạn muốn bắt đầu từ chủ đề nào ạ?"
234,Greeting,Chào hỏi,Chào mừng bạn đến với hệ thống. Tôi có thể hỗ trợ điều gì cho bạn?
235,Greeting,Chào hỏi,"Chào bạn, hy vọng bạn đang có một ngày thuận lợi. Bạn muốn tra cứu gì ạ?"
236,Greeting,Chào hỏi,"Xin chào, bạn cần hỗ trợ nhanh hay muốn tìm hiểu theo từng bước?"
237,Greeting,Chào hỏi,"Chào bạn nhé, bạn muốn hỏi về thông tin nào trước tiên ạ?"
238,Greeting,Chào hỏi,Rất vui được gặp bạn. Tôi có thể trả lời câu hỏi nào cho bạn hôm nay?
239,Greeting,Chào hỏi,"Xin chào bạn, bạn đang cần hỗ trợ về dịch vụ hay tài liệu nào?"
240,Greeting,Chào hỏi,"Chào bạn, cảm ơn bạn đã sử dụng hệ thống. Bạn đang băn khoăn điều gì ạ?"
241,Company,Giới thiệu,"MITEK J.S.C là công ty cung cấp nền tảng và giải pháp công nghệ trong lĩnh vực CNTT và Viễn thông, phục vụ doanh nghiệp tại Việt Nam và quốc tế."
242,Company,Sứ mệnh,"Sứ mệnh của MITEK là xây dựng các nền tảng số giúp doanh nghiệp tối ưu quản trị bán hàng, trải nghiệm khách hàng và vận hành tự động."
243,Company,Tầm nhìn,"MITEK hướng đến trở thành đơn vị dẫn đầu trong lĩnh vực Contact Center, CRM, và các giải pháp dịch vụ khách hàng đa kênh (Omni-Channel)."
244,Company,Giá trị cốt lõi,MITEK đề cao 3 giá trị chính: Chuyên nghiệp – Sáng tạo – Cam kết đồng hành cùng khách hàng.
245,Company,Bảo mật,"Các hệ thống của MITEK tuân thủ tiêu chuẩn bảo mật quốc tế ISO 27001:2013, đảm bảo an toàn dữ liệu cho doanh nghiệp."
246,Company,Ngành phục vụ,MITEK cung cấp giải pháp cho đa dạng lĩnh vực: Tài chính – Ngân hàng – Giáo dục – Bất động sản – Logistics – Y tế – Bán lẻ – Dịch vụ.
247,Company,Địa chỉ,"Trụ sở MITEK: 271/10 An Dương Vương, Phường 2, Quận 5, TP.Hồ Chí Minh."
248,Company,Liên hệ,Hotline hỗ trợ: 1900 1238 – Email: contact@mitek.vn.
249,Company,Giờ làm việc,"MITEK làm việc từ Thứ Hai đến Thứ Sáu, 8:00 – 18:00. Thứ Bảy và Chủ nhật nghỉ."
250,Company,Năm thành lập,"MITEK được thành lập từ năm 2016, hoạt động trong lĩnh vực phần mềm dịch vụ khách hàng."
251,Product,Giải pháp tổng thể,"MITEK cung cấp hệ sinh thái phần mềm bao gồm MiPBX, MiCXM, MiDesk và MiSMS hỗ trợ toàn diện cho doanh nghiệp."
252,Product,Triển khai,"Các giải pháp của MITEK được triển khai theo mô hình SaaS/Cloud, giúp giảm chi phí đầu tư phần cứng."
253,Product,Thiết bị phần cứng,"MITEK cung cấp thiết bị đầu cuối: Tổng đài Yeastar, tai nghe Yealink, điện thoại IP Yealink."
254,Product,Đối tác công nghệ,"MITEK là đối tác triển khai của các CRM/Helpdesk như Zoho, Salesforce, Zendesk, Freshdesk, HubSpot."
255,Value,Văn hoá,"Văn hoá MITEK đề cao tính sáng tạo, trách nhiệm và tinh thần làm việc tập thể."
256,Value,Đổi mới,MITEK liên tục cải tiến sản phẩm và quy trình để mang lại giá trị bền vững cho doanh nghiệp.
257,Value,Tử tế,"Tinh thần tử tế là giá trị cốt lõi, được duy trì trong cách MITEK làm việc với nội bộ và khách hàng."
258,Support,Hỗ trợ kỹ thuật,"MITEK hỗ trợ khách hàng qua nhiều kênh như hotline, email, Zalo, Skype và ticket nội bộ."
259,Support,Triển khai khách hàng,"MITEK luôn đồng hành xuyên suốt quá trình triển khai giải pháp, hướng dẫn nghiệp vụ và đào tạo sử dụng."
260,Support,Bảo trì,"MITEK cam kết bảo trì, nâng cấp và tối ưu hệ thống để đảm bảo hoạt động ổn định cho doanh nghiệp."
261,Company,Trách nhiệm,"MITEK luôn nỗ lực hoàn thành đúng cam kết với khách hàng, đối tác và nhân sự nội bộ, đảm bảo mọi dự án triển khai đúng tiến độ và chất lượng."
262,Company,Trách nhiệm,"Đội ngũ MITEK chịu trách nhiệm đến cùng trong việc hỗ trợ, giải quyết sự cố và tối ưu hiệu suất hệ thống cho doanh nghiệp."
263,Company,Trách nhiệm khách hàng,"MITEK coi khách hàng là trung tâm, mọi quyết định đều hướng đến trải nghiệm tốt hơn cho doanh nghiệp sử dụng hệ thống."
264,Company,Trách nhiệm bảo mật,MITEK tuân thủ nghiêm túc các nguyên tắc bảo mật dữ liệu doanh nghiệp theo tiêu chuẩn ISO 27001:2013.
265,Company,Trách nhiệm xã hội,MITEK tích cực tham gia các hoạt động cộng đồng và hỗ trợ xã hội theo tinh thần phát triển bền vững.
266,Commitment,Cam kết dịch vụ,"MITEK cam kết cung cấp dịch vụ ổn định, chất lượng cao và hỗ trợ khách hàng 24/7 trong các tình huống khẩn cấp."
267,Commitment,Cam kết hỗ trợ,"MITEK luôn theo sát doanh nghiệp trong toàn bộ vòng đời sử dụng sản phẩm từ triển khai, đào tạo, vận hành đến tối ưu."
268,Commitment,Cam kết minh bạch,"MITEK làm việc minh bạch, rõ ràng trong báo giá, hợp đồng, bảo trì và dịch vụ kỹ thuật."
269,Commitment,Cam kết đồng hành,MITEK coi sự thành công của khách hàng chính là thành công của công ty và cam kết đồng hành lâu dài.
270,Commitment,Cam kết chất lượng,Tất cả giải pháp của MITEK được kiểm thử và giám sát chất lượng kỹ lưỡng trước khi triển khai cho doanh nghiệp.
271,Company,Định hướng phát triển,"MITEK định hướng mở rộng hệ sinh thái giải pháp Contact Center, CRM, Ticketing và Marketing Automation."
272,Company,Định hướng công nghệ,"MITEK tập trung đầu tư vào các công nghệ AI, Cloud, phân tích dữ liệu và tự động hóa quy trình."
273,Company,Hành trình phát triển,"Kể từ năm 2016, MITEK đã phục vụ hàng nghìn doanh nghiệp trong nhiều lĩnh vực trên cả nước."
274,Company,Triết lý dịch vụ,MITEK theo đuổi triết lý 'Khách hàng hạnh phúc – Doanh nghiệp thành công – Xã hội phát triển'.
275,Value,Tinh thần trách nhiệm,"MITEK đề cao tinh thần chịu trách nhiệm, hoàn thành công việc đến nơi đến chốn và không đổ lỗi."
276,Value,Đoàn kết,"MITEK tin vào sức mạnh tập thể, khuyến khích phối hợp liên phòng ban để giải quyết vấn đề cho khách hàng."
277,Value,Tôn trọng,"MITEK tôn trọng khách hàng, tôn trọng nhân sự và tôn trọng sự khác biệt trong môi trường làm việc."
278,Value,Phát triển con người,MITEK đầu tư đào tạo nhân sự nhằm nâng cao năng lực chuyên môn và phát triển sự nghiệp bền vững.
279,Support,Hỗ trợ chuyên sâu,"MITEK cung cấp đội ngũ hỗ trợ chuyên sâu theo từng sản phẩm: MiPBX, MiCXM, MiDesk, MiSMS."
280,Support,Giải quyết sự cố,"Hệ thống hỗ trợ kỹ thuật của MITEK đảm bảo SLA nhanh, xử lý sự cố theo mức ưu tiên để giảm thiểu downtime cho khách hàng."
281,MiPBX,Giới thiệu,"MiPBX là dịch vụ tổng đài Cloud, cho phép doanh nghiệp triển khai hệ thống tổng đài ảo mà không cần đầu tư phần cứng vật lý."
282,MiPBX,Dịch vụ chính,"MiPBX cung cấp giải pháp Tổng đài Cloud PBX, Cloud Call Center, Auto-Call, VoiceBot/Voice OTP cho doanh nghiệp."
283,MiPBX,Lợi ích - Chi phí,Sử dụng MiPBX giúp doanh nghiệp tiết kiệm chi phí cài đặt phần cứng và bảo trì so với tổng đài truyền thống.
284,MiPBX,Lợi ích - Linh hoạt,"MiPBX cho phép mở rộng máy nhánh và chi nhánh dễ dàng, phù hợp với doanh nghiệp từ nhỏ đến lớn, mở rộng không giới hạn."
285,MiPBX,Lợi ích - Miễn phí nội bộ,Cuộc gọi giữa các chi nhánh nội bộ sử dụng MiPBX hoàn toàn miễn phí.
286,MiPBX,Tính năng,"IVR & Call Routing automatic — hỗ trợ trả lời tự động, phân tuyến cuộc gọi theo phòng ban."
287,MiPBX,Tính năng,"Quản lý ghi âm, lưu lịch sử cuộc gọi (gọi vào, gọi ra, cuộc gọi nhỡ) chi tiết cho từng máy nhánh và user."
288,MiPBX,Tính năng,Chặn cuộc gọi không mong muốn (black-list) để giảm spam / cuộc gọi rác.
289,MiPBX,Tính năng,Chuyển tiếp cuộc gọi (forward) tự động ra di động/cố định khi tổng đài viên bận hoặc vắng mặt.
290,MiPBX,Tính năng,API & tích hợp CRM/ERP giúp doanh nghiệp dễ dàng đồng bộ dữ liệu khách hàng và cuộc gọi vào hệ thống CRM.
291,MiPBX,Dịch vụ Auto-Call,MiPBX hỗ trợ Auto-Call để doanh nghiệp thực hiện hàng trăm đến hàng nghìn cuộc gọi tự động với nội dung preset hoặc VoiceBot.
