question,chunk_id,topic,group,source_content
Chi tiết về Hệ thống,332,Thời gian,IVR,Hệ thống hỗ trợ Time Condition để thay đổi luồng IVR theo khung giờ làm việc.
Zalo Notification Service hoạt động như thế nào?,453,Loại dịch vụ,MiSMS,"Zalo Notification Service (ZNS) — gửi thông báo đến người dùng qua Zalo OA, phù hợp cho CSKH và marketing."
khách hàng hoạt động như thế nào?,455,Tính năng Gửi tin nhắn QC,MiSMS,"Cho phép gửi SMS quảng cáo tới khách hàng với tiêu đề hiển thị thương hiệu (Brandname) — phù hợp cho marketing, khuyến mãi, thông báo sản phẩm/dịch vụ mới."
Chi tiết về tính năng,95,MiCXM: Telesales,MiCXM,MiCXM hỗ trợ đội ngũ Telesales bằng cách cung cấp giao diện trực quan và tính năng quay số định trước để thực hiện các chiến dịch gọi ra một cách hiệu quả và tối ưu.
Hướng dẫn sử dụng ticket,336,Đồng bộ,CRM,Hệ thống đồng bộ trạng thái ticket hoặc lead ngay khi cuộc gọi kết thúc.
Doanh là gì?,182,MiDesk: Lợi ích,MiDesk,"MiDesk OmniChannel là ""Trí nhớ tập trung"" giúp Doanh nghiệp thấu hiểu và chinh phục từng Khách hàng thông qua dữ liệu tương tác liền mạch."
Chi tiết về Text,24,Tính năng IVR,Other,"Hệ thống IVR hỗ trợ định tuyến cuộc gọi dựa trên menu thời gian (Time Condition), chuyển đổi Text-to-Speech với nhiều ngôn ngữ, và tạo cây IVR phức tạp qua giao diện đồ họa."
khách hàng hoạt động như thế nào?,205,Chung: Mục tiêu,Other,"MITEK cam kết mang lại sự phồn vinh cho khách hàng, của MITEK và của Việt Nam."
"MITEK làm việc từ Thứ Hai đến Thứ Sáu,?",249,Giờ làm việc,Company,"MITEK làm việc từ Thứ Hai đến Thứ Sáu, 8:00 – 18:00. Thứ Bảy và Chủ nhật nghỉ."
Tôi muốn biết về Zalo,402,Đa kênh,MiDesk,"MiDesk hỗ trợ tất cả các kênh: Thoại (Hotline/Call), Live Chat, Email, Facebook, Zalo OA, SMS, Web Callback, Contact Form."
Lợi ích của Giải pháp,6,Tính năng MiPBX,MiPBX,"Giải pháp MiPBX có thể được triển khai rất nhanh, chỉ trong vòng 30 phút, và có chi phí vận hành cố định mỗi tháng."
App Store có những ưu điểm gì?,117,MiDesk: Mobile,MiDesk,MiDesk cho phép nhân viên truy cập và xử lý các Ticket CSKH thông qua ứng dụng trên App Store và Google Play.
MiDesk giúp doanh nghiệp tạo nên sự khác biệt trong?,46,Lợi thế,Other,"MiDesk giúp doanh nghiệp tạo nên sự khác biệt trong cạnh tranh bằng cách mang đến trải nghiệm nhất quán, cá nhân hóa và rút ngắn chu kỳ bán hàng."
Lợi ích của Auto Call,17,Lợi ích Auto Call,Benefits,"Giải pháp Auto Call MiPBX giúp cắt giảm 100% Chi phí đầu tư hạ tầng, tiết kiệm 95% nguồn lực tổng đài viên, và gia tăng 75% hiệu quả tiếp cận khách hàng."
Lợi ích của Brandname,452,Loại dịch vụ,MiSMS,"SMS Brandname — tin nhắn hiển thị tên thương hiệu thay vì số điện thoại thông thường, tăng độ nhận diện cho doanh nghiệp."
Lợi ích của Excel,372,Import dữ liệu khách hàng,MiCXM,"Hệ thống cho phép import danh sách khách hàng/leads từ Excel hoặc nhận từ API bên ngoài, dễ khởi động chiến dịch."
Tính năng Hệ thống,4,Công nghệ,Technology,Hệ thống MITEK tuân thủ các tiêu chuẩn bảo mật cao như chứng chỉ ISO 27001:2013.
Tôi muốn biết về khách hàng,438,Chi phí linh hoạt,MiDesk,"Chi phí sử dụng MiDesk tùy theo gói: số lượng khách hàng, số kênh, dung lượng lưu trữ — dễ dàng mở rộng khi doanh nghiệp phát triển."
Tại sao nên dùng Telesales?,61,MiCXM: Nghiệp vụ,MiCXM,"MiCXM là giải pháp Contact Center được thiết kế để phục vụ nhiều nghiệp vụ khác nhau như Outbound Campaign, Debt Collection (thu hồi nợ), Telesales, và Customer Service."
Tôi muốn biết về quản lý,111,So sánh SP,Other,"MiPBX là giải pháp hạ tầng thoại, tập trung vào việc quản lý cuộc gọi vào/ra và nội bộ trong doanh nghiệp."
Tính năng Hệ thống,308,Định tuyến,MiPBX,"Hệ thống hỗ trợ định tuyến cuộc gọi theo thời gian, nhóm xử lý hoặc kỹ năng nhân viên."
Giải thích về phần mềm,251,Giải pháp tổng thể,Product,"MITEK cung cấp hệ sinh thái phần mềm bao gồm MiPBX, MiCXM, MiDesk và MiSMS hỗ trợ toàn diện cho doanh nghiệp."
dịch vụ có những ưu điểm gì?,30,MiDesk: Ticketing,MiDesk,"Các chức năng như gắn thẻ (tag), cụm nhóm (grouping), và phân loại giúp người dùng quản lý vé một cách khoa học hơn, từ đó điều chỉnh chất lượng sản phẩm và dịch vụ."
Giải thích về Dashboard,313,Giám sát,MiPBX,MiPBX hỗ trợ Dashboard real-time hiển thị cuộc gọi đang diễn ra và trạng thái máy nhánh.
Giải thích về khách hàng,183,MiDesk: Lợi ích,MiDesk,"MiDesk giúp doanh nghiệp tăng lợi thế cạnh tranh rất nhiều so với các đối thủ, vì khách hàng luôn muốn liên hệ dễ dàng với doanh nghiệp."
Lợi ích của Ticket,27,MiDesk: Ticketing,MiDesk,"Hệ thống Ticket system của MiDesk giúp tiếp nhận kịp thời, gán trách nhiệm đầy đủ, theo dõi và quản lý chặt chẽ số lượng yêu cầu (ticket) ngày càng tăng của khách hàng."
Giải thích về tính năng,8,Tính năng MiCXM,MiCXM,MiCXM sở hữu các tính năng nâng cao như PDS (Predictive Dialer System) và định tuyến cuộc gọi dựa trên kỹ năng (skill-based routing).
Tại sao nên dùng dịch vụ?,437,Đăng ký Demo,MiDesk,MiDesk cho phép doanh nghiệp đăng ký demo miễn phí để thử nghiệm trước khi quyết định sử dụng dịch vụ.
Chi tiết về hệ thống,109,Tích hợp CRM,Integration,"Để tích hợp MiPBX hoặc MiCXM với hệ thống CRM hiện tại của khách hàng, cần có Dev để tích hợp qua tài liệu API MITEK cung cấp."
Ticket là gì?,38,MiDesk: Zalo/FB,MiDesk,"Bất cứ khi nào doanh nghiệp nhận được bình luận (comment) hay tin nhắn (inbox) trên Fanpage Facebook, hoặc tương tác qua Zalo OA, hệ thống MiDesk ngay lập tức tạo thành một Ticket."
Hướng dẫn sử dụng khách hàng,158,MiDesk: Tốc độ,MiDesk,"MiDesk giúp tăng tốc độ Bán hàng và CSKH nhờ dữ liệu tập trung và quy trình tự động, từ đó rút ngắn chu kỳ bán hàng và nâng cao trải nghiệm khách hàng."
Lợi ích của khách hàng,448,Cải thiện dịch vụ sau bán,MiDesk,"MiDesk không chỉ dùng cho bán hàng mà còn hỗ trợ CSKH, bảo hành, khiếu nại, feedback, xây dựng lòng trung thành khách hàng."
Contact Center hoạt động như thế nào?,119,MiCXM: Công nghệ,MiCXM,MiCXM giảm chi phí hoạt động lên đến 70% và làm tăng lợi nhuận hoạt động cho Contact Center nhờ việc sử dụng công nghệ thông minh với chi phí cạnh tranh.
Tính năng Giải pháp,115,MiCXM: Chi phí,MiCXM,Giải pháp MiCXM duy trì hiệu quả chi phí vì nó hoạt động liên tục với cơ sở hạ tầng hiện có và không đòi hỏi các máy chủ cấp ngành công nghiệp đắt tiền.
Chi tiết về khách hàng,266,Cam kết dịch vụ,Commitment,"MITEK cam kết cung cấp dịch vụ ổn định, chất lượng cao và hỗ trợ khách hàng 24/7 trong các tình huống khẩn cấp."
Chi tiết về ticket,427,Chuyển tiếp nội bộ ticket,MiDesk,"Nếu một ticket cần chuyển phòng ban — MiDesk hỗ trợ chuyển tiếp nội bộ, giữ lịch sử và trạng thái xử lý rõ ràng."
Tôi muốn biết về tính năng,145,MiPBX: Auto-dialer,MiPBX,"MiPBX có thể tích hợp Auto-dialer (Quay số tự động) để tăng tốc độ gọi ra hàng loạt, một tính năng quan trọng cho các trung tâm Telesales lớn."
Tại sao nên dùng khách hàng?,357,Tính năng CTI,MiCXM,"Hệ thống tích hợp CTI, hỗ trợ pop-up thông tin khách hàng khi có cuộc gọi đến, hiển thị lịch sử tương tác."
khách hàng hoạt động như thế nào?,383,Theo dõi lịch sử tương tác,MiCXM,"Mọi tương tác (call, chat, email, sms, social) đều được lưu trữ và dễ truy xuất để phục vụ chăm sóc khách hàng hoặc audit."
Cuộc gọi giữa các chi?,285,Lợi ích - Miễn phí nội bộ,MiPBX,Cuộc gọi giữa các chi nhánh nội bộ sử dụng MiPBX hoàn toàn miễn phí.
MITEK liên tục cải tiến sản phẩm?,256,Đổi mới,Value,MITEK liên tục cải tiến sản phẩm và quy trình để mang lại giá trị bền vững cho doanh nghiệp.
Tại sao nên dùng Call Center?,200,MiPBX: Call Center,MiPBX,Chuyển đổi số trong doanh nghiệp thường bắt đầu từ những cuộc gọi; khám phá ngay sức mạnh của Tổng đài Call Center MiPBX để thúc đẩy quá trình này.
phần mềm hoạt động như thế nào?,429,Hỗ trợ tích hợp API,MiDesk,MiDesk cung cấp API để doanh nghiệp hoặc đối tác tích hợp hệ thống CRM/ERP hoặc các phần mềm khác dễ dàng với MiDesk.
Tại sao nên dùng báo cáo?,142,MiCXM: Báo cáo,MiCXM,"MiCXM cung cấp báo cáo chi tiết về tỷ lệ chuyển đổi (Conversion Rate) từ các chiến dịch gọi ra (Outbound Campaign), giúp đánh giá hiệu quả của đội ngũ Telesales."
Logistics hoạt động như thế nào?,353,Đối tượng sử dụng,MiCXM,"MiCXM phù hợp cho doanh nghiệp trong các ngành: Ngân hàng, Bảo hiểm, Logistics, BPO, Du lịch, Giáo dục, Thương mại, v.v."
Giải thích về Queue,68,MiDesk: Queue,MiDesk,"MiDesk sử dụng cơ chế Penalty trong Queue để thiết lập mức độ ưu tiên: Agent có Penalty = 0 sẽ ưu tiên tiếp nhận cuộc gọi, các nhóm có Penalty cao hơn sẽ là nhóm Backup."
Tổng đài hoạt động như thế nào?,194,MiPBX: Ưu điểm,MiPBX,"Tổng đài Cloud có khả năng sao lưu và khôi phục dễ dàng, cùng với bảo mật dữ liệu chặt chẽ hơn so với tổng đài truyền thống."
Tính năng tính năng,169,MiDesk: Mở rộng,MiDesk,"MiDesk dễ dàng nâng cấp gói dịch vụ theo nhu cầu mở rộng mô hình số lượng người dùng của doanh nghiệp bạn, cũng như nâng cấp tính năng tiện ích khi có nhu cầu."
Giải thích về khách hàng,363,SMS BrandName,MiCXM,"MiCXM tích hợp SMS BrandName để gửi tin nhắn hàng loạt hoặc cá nhân hóa cho khách hàng, tiện cho marketing & CSKH."
hệ thống có những ưu điểm gì?,196,MiDesk: Lợi ích,MiDesk,"MiDesk giúp cải thiện mức độ hài lòng của khách hàng nhờ hệ thống xử lý tự động phân bổ thông minh, khiến khách hàng thích thú với khả năng phản hồi thần tốc."
Tính năng khách hàng,228,MiDesk: Lợi thế,MiDesk,"MiDesk cho phép quản lý liền mạch tương tác với khách hàng từ tất cả các kênh, đảm bảo tính thống nhất trong dịch vụ."
Lợi ích của Khách hàng,110,Tích hợp CRM,Integration,"Khách hàng cần cung cấp URL Webhook để nhận thông tin cuộc gọi từ MITEK, sau đó xử lý nghiệp vụ tương ứng trên CRM của khách hàng."
dịch vụ hoạt động như thế nào?,230,Chung: Liên hệ,Other,Khách hàng có nhu cầu cần tư vấn cụ thể hơn về dịch vụ có thể liên hệ qua email contact@mitek.vn hoặc hotline 1900 1238.
Chi tiết về Lead,146,MiCXM: Lead,MiCXM,"MiCXM cho phép tự động tổng hợp sẵn tất cả các Lead (comment, tin nhắn, cuộc gọi,...) từ đa kênh và tự động phân bổ cho nhân viên theo các quy tắc đã định."
Hướng dẫn sử dụng hệ thống,245,Bảo mật,Company,"Các hệ thống của MITEK tuân thủ tiêu chuẩn bảo mật quốc tế ISO 27001:2013, đảm bảo an toàn dữ liệu cho doanh nghiệp."
Wrap hoạt động như thế nào?,153,MiCXM: Tác vụ,MiCXM,"MiCXM giúp Agent thực hiện các tác vụ sau cuộc gọi (Wrap-up) như cập nhật trạng thái cuộc gọi, ghi chú tóm tắt và lên lịch cho cuộc gọi tiếp theo một cách nhanh chóng."
Tại sao nên dùng Agent?,396,Chuyển đổi linh hoạt giữa kênh,MiCXM,"Agent có thể dễ dàng chuyển đổi tương tác giữa call, chat, email, sms… trên cùng một giao diện, giúp xử lý linh hoạt."
Khi doanh nghiệp mở rộng?,387,Mở rộng dễ dàng,MiCXM,"Khi doanh nghiệp mở rộng chi nhánh, tăng user hoặc thêm kênh — MiCXM dễ dàng mở rộng theo nhu cầu."
Telco hoạt động như thế nào?,84,Đối tác,Other,"MITEK là đối tác của các nhà mạng (Telco) lớn tại Việt Nam như FPT và ITEL, đảm bảo tính ổn định của đường truyền và đầu số Hotline (1900/1800)."
báo cáo là gì?,369,SLA & Workflow,MiCXM,"Hệ thống hỗ trợ thiết lập SLA, workflow xử lý case, nhắc nhở quá hạn và báo cáo khiếu nại — giúp đảm bảo chất lượng dịch vụ."
Tính năng hệ thống,166,MiCXM: Định tuyến,MiCXM,"MiCXM giúp tối ưu hóa cuộc gọi thông qua định tuyến dựa trên kỹ năng, đồng thời phân phối cuộc gọi tự động, tích hợp sẵn với các hệ thống IVR."
Giải thích về Doanh,330,Tùy biến,IVR,Doanh nghiệp có thể thiết kế IVR nhiều tầng bằng giao diện trực quan.
Tính năng giải pháp,211,Voice Brandname,Voice Brandname,"Voice Brandname (Cuộc gọi thương hiệu) là giải pháp hiển thị tên thương hiệu của doanh nghiệp trên màn hình điện thoại khách hàng khi gọi đi, thay vì chỉ hiển thị dãy số điện thoại."
MiDesk chấp nhận thanh toán theo hình?,75,MiDesk: Thanh toán,MiDesk,MiDesk chấp nhận thanh toán theo hình thức chuyển khoản qua ngân hàng hoặc tiền mặt.
Giải thích về dịch vụ,298,Thanh toán & gói dịch vụ,MiPBX,"MiPBX cung cấp các gói dịch vụ theo số lượng máy nhánh/user — phù hợp với doanh nghiệp nhỏ, vừa và lớn."
Lợi ích của Start,411,Tiện lợi cho doanh nghiệp nhỏ,MiDesk,"MiDesk phù hợp với mọi quy mô: từ Start-up, SMEs đến doanh nghiệp lớn, kể cả khi chỉ bán online hoặc qua social media."
"Chào bạn, bạn đang tìm hiểu thông tin nào?",232,Chào hỏi,Greeting,"Chào bạn, bạn đang tìm hiểu thông tin nào để tôi hỗ trợ ngay?"
Chi tiết về khách hàng,120,MiCXM: Kênh,MiCXM,"Không như hệ thống chăm sóc khách hàng truyền thống chỉ tương tác kênh thoại, MiCXM cho phép tương tác đa kênh bao gồm Voice, E-mail, Chat Web, Facebook, SMS, và Fax."
Tôi muốn biết về Cloud,272,Định hướng công nghệ,Company,"MITEK tập trung đầu tư vào các công nghệ AI, Cloud, phân tích dữ liệu và tự động hóa quy trình."
Chi tiết về agent,362,Live Chat & Web Chat,MiCXM,"MiCXM hỗ trợ live chat trên website, cho phép agent chat realtime với khách truy cập và lưu lịch sử chat."
Agent là gì?,446,Phản hồi linh hoạt,MiDesk,"Agent có thể tiếp nhận mọi tương tác từ nhiều kênh ngay lập tức — chat, call, email — giúp phản hồi nhanh & đúng kênh khách chọn."
Giải thích về Internet,342,Mã hóa,Bảo mật,Toàn bộ dữ liệu tín hiệu thoại được mã hóa khi truyền qua Internet.
Tính năng Logistics,246,Ngành phục vụ,Company,MITEK cung cấp giải pháp cho đa dạng lĩnh vực: Tài chính – Ngân hàng – Giáo dục – Bất động sản – Logistics – Y tế – Bán lẻ – Dịch vụ.
dịch vụ là gì?,325,Ứng dụng,AutoCall,"Auto Call được dùng trong nhắc lịch hẹn, gia hạn dịch vụ, thông báo vận đơn hoặc thu hồi công nợ."
Lợi ích của agent,371,Phân quyền & Kỹ năng,MiCXM,"MiCXM cho phép phân quyền agent, phân bố cuộc gọi theo kỹ năng — phù hợp cho tổng đài đa phòng ban."
agent là gì?,370,Báo cáo & Giám sát,MiCXM,"MiCXM có chức năng thống kê và giám sát realtime: cuộc gọi đang chờ, agent bận, tổng số cuộc gọi, lịch sử, hiệu suất agent."
Tôi muốn biết về hệ thống,413,Hỗ trợ nhiều kênh bán & CSKH,MiDesk,"MiDesk giúp hợp nhất bán hàng và CSKH — từ đặt hàng online, support, chăm sóc, CRM — tất cả trong cùng hệ thống."
Tôi muốn biết về Hotline,37,MiDesk: Đa kênh,MiDesk,"MiDesk hợp nhất tất cả các kênh Facebook, Zalo OA, Email, Live chat, Hotline 24/7 về cùng một cửa sổ OmniChannel duy nhất."
Chi tiết về Chat Web,197,MiCXM: Kênh,MiCXM,"MiCXM cho phép tương tác đa kênh bao gồm Voice, E-mail, Chat Web, Facebook, SMS, và Fax, mở rộng khả năng tiếp cận khách hàng của doanh nghiệp."
Tính năng Agent,140,MiPBX: Ghi âm,MiPBX,"Hệ thống ghi âm của MiPBX cho phép người quản lý tìm kiếm và nghe lại ghi âm dựa trên nhiều tiêu chí như số điện thoại khách hàng, thời gian, hoặc tên Agent."
Hướng dẫn sử dụng Email,352,Đa kênh,MiCXM,"MiCXM hợp nhất các kênh Thoại, Live Chat, Email, SMS, Facebook và Social Media trong một nền tảng duy nhất."
khách hàng là gì?,226,MiPBX: Hỗ trợ,MiPBX,"MITEK đảm nhận việc vận hành tổng đài cho doanh nghiệp, giúp khách hàng tiết kiệm thời gian quản lý và vận hành hệ thống."
"MITEK đề cao tinh thần chịu trách nhiệm,?",275,Tinh thần trách nhiệm,Value,"MITEK đề cao tinh thần chịu trách nhiệm, hoàn thành công việc đến nơi đến chốn và không đổ lỗi."
khách hàng có những ưu điểm gì?,276,Đoàn kết,Value,"MITEK tin vào sức mạnh tập thể, khuyến khích phối hợp liên phòng ban để giải quyết vấn đề cho khách hàng."
Tôi muốn biết về Queue,60,MiPBX: Thay đổi,MiPBX,Khách hàng muốn đổi kịch bản IVR hoặc thiết lập Queue có thể gửi yêu cầu vào email hỗ trợ để đội ngũ kỹ thuật MITEK thực hiện.
Outbound là gì?,112,So sánh SP,Other,"MiCXM là phần mềm CRM Contact Center, tập trung vào quản trị đội ngũ Telesales và tối ưu hóa các chiến dịch gọi ra (Outbound)."
Tôi muốn biết về dịch vụ,239,Chào hỏi,Greeting,"Xin chào bạn, bạn đang cần hỗ trợ về dịch vụ hay tài liệu nào?"
MiCXM có thể được cài đặt và cấu hình nhanh?,379,Khởi tạo nhanh,MiCXM,MiCXM có thể được cài đặt và cấu hình nhanh chóng — phù hợp doanh nghiệp cần triển khai gấp.
Outbound là gì?,7,Sản phẩm,Product,"MiCXM (CRM Contact Center) là hệ thống quản lý trải nghiệm khách hàng đa kênh (Voice, Email, Chat, Facebook) và tối ưu hóa năng suất Telesales/Outbound."
Chung có những ưu điểm gì?,348,Chung cư,Case Study,Chung cư sử dụng MiPBX cho bộ phận CSKH và quản lý phản ánh cư dân.
Tại sao nên dùng Tích hợp?,334,Lợi ích,CRM,Tích hợp giúp nhân viên xem lịch sử tương tác và xử lý yêu cầu nhanh hơn.
dịch vụ có những ưu điểm gì?,159,MiDesk: KPI,MiDesk,"Báo cáo của MiDesk hỗ trợ theo dõi KPI hiệu suất của nhân viên theo thời gian phản hồi và thời gian xử lý Ticket, đảm bảo chất lượng dịch vụ theo SLA."
Tính năng khách hàng,151,MiCXM: Định tuyến,MiCXM,"MiCXM sử dụng ACD (Automatic Call Distribution) thông minh, định tuyến cuộc gọi đến Agent có kỹ năng phù hợp nhất hoặc Agent đã tương tác với khách hàng gần nhất."
giải pháp hoạt động như thế nào?,178,Mục đích,Other,"Mục tiêu của MiDesk là cung cấp giải pháp dịch vụ khách hàng, chăm sóc khách hàng đa kênh toàn diện."
Tùy theo nhu cầu — số lượng?,380,Chi phí linh hoạt,MiCXM,"Tùy theo nhu cầu — số lượng user, kênh, volume cuộc gọi — chi phí của MiCXM linh hoạt, phù hợp SMEs và enterprise."
Giờ làm việc chính thức của?,185,Thông tin,Info,Giờ làm việc chính thức của MITEK là từ Thứ Hai đến Thứ Sáu: 8h00 – 18h00.
"Kể từ năm 2016, MITEK đã phục?",273,Hành trình phát triển,Company,"Kể từ năm 2016, MITEK đã phục vụ hàng nghìn doanh nghiệp trong nhiều lĩnh vực trên cả nước."
Tôi muốn biết về Ticket,11,Tính năng MiDesk,MiDesk,"MiDesk giúp chuyển đổi mọi tương tác (Call, Chat, Email, Social) thành phiếu xử lý (Ticket), thực hiện phân bổ tự động, và cung cấp báo cáo KPI/SLA chi tiết."
Tại sao nên dùng quản lý?,368,Case Management,MiCXM,"MiCXM hỗ trợ quản lý vụ việc (case): từ tiếp nhận, xử lý, theo dõi tới hoàn tất — thích hợp cho CSKH, khiếu nại, support kỹ thuật."
Zalo hoạt động như thế nào?,104,Case Study,Case Study,"Công ty TNHH Hoàng Kim Mỹ (Hoàng Kim Mỹ) hài lòng với MiPBX vì chi phí rẻ và cố định, cùng sự hỗ trợ nhanh chóng từ cả MITEK và nhà mạng FPT thông qua nhóm Zalo."
Chi tiết về Zalo Notification Service,82,Tích hợp Zalo,Zalo,Việc sử dụng Zalo Notification Service (ZNS) thông qua MiSMS giúp doanh nghiệp gửi thông báo chăm sóc khách hàng cá nhân hóa với độ tin cậy và tỷ lệ mở cao hơn so với SMS thông thường.
Tính năng khách hàng,39,MiDesk: Email,MiDesk,MiDesk cho phép nhân viên truy cập và quản lý tất cả các email hỗ trợ khách hàng ngay trong thanh công cụ MiDesk mà không cần kiểm tra từng hộp thư riêng lẻ.
"Dữ liệu cuộc gọi, chat, email, sms?",393,Backup dữ liệu,MiCXM,"Dữ liệu cuộc gọi, chat, email, sms được lưu trữ và backup đảm bảo không mất dữ liệu khi doanh nghiệp mở rộng hoặc xảy ra sự cố."
Chi tiết về khách hàng,168,MiDesk: Khách hàng,MiDesk,"Khách hàng chính là tài sản của bất kỳ doanh nghiệp nào, nếu hệ thống chăm sóc khách hàng không hiệu quả, khách hàng có thể rời bỏ bạn bất kỳ lúc nào."
khách hàng có những ưu điểm gì?,450,Giá trị dài hạn,MiDesk,"MiDesk giúp doanh nghiệp xây dựng hệ thống CSKH chuyên nghiệp, dữ liệu khách hàng tập trung, dễ phân tích & tái sử dụng — nền tảng cho CRM & marketing sau này."
Chi tiết về dịch vụ,300,Liên hệ hỗ trợ,MiPBX,Hotline hỗ trợ: 1900 1238 — Email liên hệ: contact@mitek.vn — nhanh chóng tư vấn & hỗ trợ dịch vụ.
Giải thích về Start,199,MiDesk: Phạm vi,MiDesk,"MiDesk thích nghi với nhiều quy mô doanh nghiệp khác nhau, từ các công ty lớn (Enterprise) cho đến các công ty khởi nghiệp (Start-up)."
Lợi ích của Quản lý,287,Tính năng,MiPBX,"Quản lý ghi âm, lưu lịch sử cuộc gọi (gọi vào, gọi ra, cuộc gọi nhỡ) chi tiết cho từng máy nhánh và user."
Chi tiết về Cloud,317,SLA,MiPBX,MiPBX đảm bảo thời gian uptime cao nhờ kiến trúc Cloud nhiều lớp backup dữ liệu.
MiDesk giúp doanh nghiệp tránh bỏ?,447,Tối ưu quản lý ticket,MiDesk,"MiDesk giúp doanh nghiệp tránh bỏ sót yêu cầu, giảm lỗi xử lý, đảm bảo quy trình rõ ràng từ tiếp nhận → xử lý → hoàn tất."
Tính năng giải pháp,195,MiDesk: Lợi ích,MiDesk,Việc sử dụng giải pháp tích hợp đa kênh như MiDesk mang lại lợi thế cạnh tranh rất lớn so với các đối thủ trên thị trường.
khách hàng là gì?,90,Lợi ích chung,Benefits,"Mục tiêu cuối cùng của MITEK là giúp khách hàng tạo ra các trải nghiệm đáng nhớ và duy trì mức độ trung thành cao, từ đó thúc đẩy tăng doanh số một cách hiệu quả."
Tính năng khách hàng,147,MiDesk: Phản hồi,MiDesk,"MiDesk giúp doanh nghiệp phản hồi khách hàng nhanh chóng nhờ khả năng tích hợp và đồng bộ dữ liệu khách hàng từ mọi kênh, nâng cao trải nghiệm khách hàng ngay từ lần đầu tiên."
Tôi muốn biết về tổng đài,164,Thiết bị,Hardware,"Các sản phẩm Yealink được cung cấp bao gồm Tai nghe Yealink và Điện thoại IP Yealink, đây là các thiết bị đầu cuối tương thích hoàn hảo với tổng đài Cloud MiPBX."
Lợi ích của Hotline,248,Liên hệ,Company,Hotline hỗ trợ: 1900 1238 – Email: contact@mitek.vn.
khách hàng hoạt động như thế nào?,148,MiDesk: Cá nhân hóa,MiDesk,"MiDesk giúp thực hiện cá nhân hóa tương tác bằng cách cho phép nhân viên truy cập lịch sử mua hàng, sở thích cá nhân, và các tương tác trước đó của khách hàng."
Tính năng Cloud,3,Công nghệ,Technology,Các sản phẩm của MITEK được triển khai theo mô hình Điện toán đám mây (Cloud) hoặc SaaS (Software as a Service).
Hướng dẫn sử dụng khách hàng,93,MiPBX: Log,MiPBX,Dữ liệu khách hàng và Log cuộc gọi mặc định được lưu trữ trong 1 năm; khách hàng có thể mua thêm gói lưu trữ nếu có nhu cầu lưu giữ lâu hơn.
Tôi muốn biết về tích hợp,417,SMS & Email Support,MiDesk,"MiDesk tích hợp cả SMS/email để chăm sóc khách hàng, gửi thông báo, xác nhận dễ dàng — phù hợp cho CSKH & marketing."
hệ thống là gì?,70,MiDesk: Omnichannel,MiDesk,"Lợi ích của Omnichannel là kết nối tất cả các kênh lại một hệ thống, mang lại trải nghiệm nhất quán cho khách hàng, khác biệt với Multi-channel thiếu sự thống nhất."
Lợi ích của dịch vụ,451,Giới thiệu,MiSMS,"MiSMS là dịch vụ SMS Brandname & ZNS giúp doanh nghiệp gửi tin nhắn quảng cáo, chăm sóc khách hàng và thông báo đến khách hàng trên điện thoại."
Lợi ích của tổng đài,124,MiDesk: Mobile,MiDesk,"Với việc sử dụng tổng đài MiDesk, nhân viên có thể gọi ra bằng đầu số của công ty bất cứ đâu thông qua ứng dụng trên smartphone."
agent là gì?,356,Tính năng IVR,MiCXM,"MiCXM cung cấp IVR cho phép tạo menu thoại tự động, giúp định tuyến khách hàng theo nhu cầu mà không cần agent trực tiếp."
